species,paradigm,unit,f1_mean,f1_std,f1_n,auroc_mean,auroc_std,auroc_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,balanced_acc_mean,balanced_acc_std,balanced_acc_n,is_outlier,outlier_reason
minipigs,single-session,sub-06_ses-02_task-AcousStim_acq-LH_desc-raw,0.06441319982210793,0.019270066892209208,3,0.5441168944040934,0.02442519500076123,3,0.07978476894398527,0.07210087540626244,3,0.1300843258698781,0.005679531036806081,3,0.1300843258698781,0.005679531036806081,3,False,
minipigs,single-session,sub-06_ses-02_task-AcousStim_acq-RH_desc-raw,0.1611061170697212,0.15667753465485904,3,0.6080807248751322,0.13093902309447059,3,0.16773591190576545,0.18450259257557008,3,0.2064707974592844,0.1268886584070972,3,0.2064707974592844,0.1268886584070972,3,False,
minipigs,single-session,sub-07_ses-01_task-AcousStim_acq-LH_desc-raw,0.05574638769030566,0.0009738788922830844,3,0.5097927649815878,0.015446422000380863,3,0.034632034599781036,0.0007498066728724173,3,0.1428571492433548,0.0,3,0.1428571492433548,0.0,3,False,
minipigs,single-session,sub-07_ses-01_task-AcousStim_acq-RH_desc-raw,0.7950570583343506,0.08896786029184203,3,0.3361865480740865,0.023068490341426544,3,0.8059817353884379,0.08421718519211668,3,0.7982298731803894,0.08533068193548381,3,0.7982298731803894,0.08533068193548381,3,False,
minipigs,single-session,sub-07_ses-02_task-AcousStim_acq-LH_desc-raw,0.6013241211573283,0.25039252064151135,3,0.7834304769833883,0.06603288712305402,3,0.6446739931901296,0.21151270082700074,3,0.6187423964341482,0.2156959770655362,3,0.6187423964341482,0.2156959770655362,3,False,
minipigs,single-session,sub-07_ses-02_task-AcousStim_acq-RH_desc-raw,0.2956111331780751,0.0465718995721524,3,0.686124324798584,0.013885062754080796,3,0.45381255944569904,0.08676143192118725,3,0.3502567013104756,0.010494891889242682,3,0.3502567013104756,0.010494891889242682,3,False,
minipigs,single-session,sub-07_ses-03_task-AcousStim_acq-LH_desc-raw,0.22570822636286414,0.013370243828415253,3,0.5364471872647604,0.016588776589682847,3,0.3886787494023641,0.03383379652108106,3,0.2696581284205119,0.016519030897842093,3,0.2696581284205119,0.016519030897842093,3,False,
minipigs,single-session,sub-07_ses-03_task-AcousStim_acq-RH_desc-raw,0.35995512704054516,0.21636417896797785,3,0.6839015881220499,0.095510288728875,3,0.402902049322923,0.24609218428718618,3,0.4309262235959371,0.189802974267694,3,0.4309262235959371,0.189802974267694,3,False,
minipigs,single-session,sub-07_ses-04_task-AcousStim_acq-LH_desc-raw,0.1299149841070175,0.016272369335764574,3,0.39258049925168353,0.015993387028592123,3,0.18187229335308072,0.058568242824279984,3,0.206552709142367,0.004448004007241782,3,0.206552709142367,0.004448004007241782,3,False,
minipigs,single-session,sub-07_ses-04_task-AcousStim_acq-RH_desc-raw,0.3797272245089212,0.022577280609222896,3,0.508642574151357,0.00165517283344586,3,0.4237006704012553,0.05050454485534065,3,0.39443427324295044,0.03255042480832012,3,0.39443427324295044,0.03255042480832012,3,False,
minipigs,single-session,sub-07_ses-05_task-AcousStim_acq-LH_desc-raw,0.13848698635896042,0.02738761648658955,3,0.4807792007923126,0.038144194387905686,3,0.1958212455113728,0.02619759328024831,3,0.19173854092756903,0.02735554929206322,3,0.19173854092756903,0.02735554929206322,3,False,
minipigs,single-session,sub-07_ses-05_task-AcousStim_acq-RH_desc-raw,0.5180242657661438,0.08261658642527418,3,0.7696127494176229,0.016949405539977837,3,0.5808605551719666,0.03614473180542811,3,0.5431216756502787,0.06488098292939443,3,0.5431216756502787,0.06488098292939443,3,False,
minipigs,single-subject,sub-01,0.23011006911595658,0.010567545066933536,3,0.7128129800160726,0.008043209913618187,3,0.3247983952363332,0.026653785360098464,3,0.2373939404884974,0.012258561117247744,3,0.2373939404884974,0.012258561117247744,3,False,
minipigs,single-subject,sub-02,0.2628285636504491,0.01601029675925919,3,0.6956459283828735,0.00993855306724458,3,0.3774086634318034,0.009726815428357518,3,0.2589521755774815,0.01332131015464329,3,0.2589521755774815,0.01332131015464329,3,False,
minipigs,single-subject,sub-03,0.41795027256011963,0.01112443927660459,3,0.8202864130338033,0.010575127735481662,3,0.4299611846605937,0.014780595910258295,3,0.42105363806088764,0.012865016452697171,3,0.42105363806088764,0.012865016452697171,3,False,
