species,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,weight_decay,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,64,4,6,6,1/3,0.08,1,0.3604029715061188,0.0,0.7667741179466248,0.0,0.36734041571617126,0.0,0.3637445271015167,0.0,0.3637445271015167,0.0
minipigs,64,4,6,6,1/3,0.1,1,0.35899829864501953,0.0,0.7672367095947266,0.0,0.3671712875366211,0.0,0.36059659719467163,0.0,0.36059659719467163,0.0
minipigs,64,4,6,6,1/4,0.08,1,0.3631815314292908,0.0,0.780289351940155,0.0,0.39174824953079224,0.0,0.3585461974143982,0.0,0.3585461974143982,0.0
minipigs,64,4,6,8,1/2,0.08,1,0.36743009090423584,0.0,0.7790907621383667,0.0,0.3774476647377014,0.0,0.3704978823661804,0.0,0.3704978823661804,0.0
minipigs,64,4,6,8,1/3,0.08,1,0.35685664415359497,0.0,0.7705519795417786,0.0,0.3715187907218933,0.0,0.3583102226257324,0.0,0.3583102226257324,0.0
minipigs,64,4,6,8,1/4,0.08,1,0.35679811239242554,0.0,0.7798709869384766,0.0,0.37918251752853394,0.0,0.35930323600769043,0.0,0.35930323600769043,0.0
minipigs,64,4,8,8,1/2,0.08,1,0.3651115894317627,0.0,0.7824192047119141,0.0,0.38207706809043884,0.0,0.3640210032463074,0.0,0.3640210032463074,0.0
minipigs,64,4,8,8,1/3,0.08,1,0.36474400758743286,0.0,0.7720800638198853,0.0,0.37721312046051025,0.0,0.3636229634284973,0.0,0.3636229634284973,0.0
minipigs,64,4,8,8,1/4,0.08,1,0.3622128963470459,0.0,0.7762550115585327,0.0,0.3843815326690674,0.0,0.3626444935798645,0.0,0.3626444935798645,0.0
minipigs,128,2,6,6,1/2,0.08,1,0.3816934227943421,0.0,0.787194013595581,0.0,0.3905298113822937,0.0,0.3832862377166748,0.0,0.3832862377166748,0.0
minipigs,128,2,6,6,1/2,0.1,1,0.3808330297470093,0.0,0.787269115447998,0.0,0.39024126529693604,0.0,0.3823939263820648,0.0,0.3823939263820648,0.0
minipigs,128,2,6,6,1/3,0.08,1,0.36894628405570984,0.0,0.7748669385910034,0.0,0.3760218322277069,0.0,0.36735695600509644,0.0,0.36735695600509644,0.0
minipigs,128,2,6,6,1/3,0.1,1,0.36882323026657104,0.0,0.7751110196113586,0.0,0.3726692795753479,0.0,0.3687230348587036,0.0,0.3687230348587036,0.0
minipigs,128,2,6,6,1/4,0.08,1,0.35743266344070435,0.0,0.7747353315353394,0.0,0.3770536184310913,0.0,0.35447537899017334,0.0,0.35447537899017334,0.0
minipigs,128,2,6,6,1/4,0.1,1,0.3562416732311249,0.0,0.7754095792770386,0.0,0.377335786819458,0.0,0.3534356653690338,0.0,0.3534356653690338,0.0
minipigs,128,2,6,8,1/2,0.08,1,0.3710523247718811,0.0,0.7894622087478638,0.0,0.3883892893791199,0.0,0.3706820607185364,0.0,0.3706820607185364,0.0
minipigs,128,2,6,8,1/3,0.08,1,0.3711652457714081,0.0,0.7757167816162109,0.0,0.39217764139175415,0.0,0.3682466745376587,0.0,0.3682466745376587,0.0
minipigs,128,2,6,8,1/4,0.08,1,0.3678065836429596,0.0,0.7874941825866699,0.0,0.37786805629730225,0.0,0.3688013553619385,0.0,0.3688013553619385,0.0
minipigs,128,2,8,6,1/2,0.08,1,0.36899590492248535,0.0,0.7881299257278442,0.0,0.3796986937522888,0.0,0.366235613822937,0.0,0.366235613822937,0.0
minipigs,128,2,8,6,1/2,0.1,1,0.37025824189186096,0.0,0.7885928153991699,0.0,0.3795902729034424,0.0,0.36794063448905945,0.0,0.36794063448905945,0.0
minipigs,128,2,8,6,1/3,0.08,1,0.36781045794487,0.0,0.7773267030715942,0.0,0.3847488760948181,0.0,0.36622244119644165,0.0,0.36622244119644165,0.0
minipigs,128,2,8,6,1/3,0.1,1,0.368032306432724,0.0,0.7768741846084595,0.0,0.38825005292892456,0.0,0.36614954471588135,0.0,0.36614954471588135,0.0
